source,title,description,url,published_at,source_type
ETF Daily News,"Lazari Capital Management Inc. Buys 482 Shares of Tesla, Inc. (NASDAQ:TSLA)","Lazari Capital Management Inc. grew its stake in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 4.3% in the 4th quarter, according to its most recent disclosure with the SEC. The institutional investor owned 11,678 shares of the electric vehicle produce…",https://www.etfdailynews.com/2025/02/07/lazari-capital-management-inc-buys-482-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T10:24:55Z,NewsAPI
ETF Daily News,"Muirfield Wealth Advisors LLC Boosts Position in Tesla, Inc. (NASDAQ:TSLA)","Muirfield Wealth Advisors LLC increased its holdings in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 1.4% in the 4th quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 2,074 s…",https://www.etfdailynews.com/2025/02/07/muirfield-wealth-advisors-llc-boosts-position-in-tesla-inc-nasdaqtsla/,2025-02-07T10:24:55Z,NewsAPI
ETF Daily News,"Tesla, Inc. (NASDAQ:TSLA) Stake Raised by Fiduciary Planning LLC","Fiduciary Planning LLC boosted its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 582.8% during the 4th quarter, Holdings Channel.com reports. The fund owned 5,469 shares of the electric vehicle producer’s stock after purchasing an additional 4,668 sh…",https://www.etfdailynews.com/2025/02/07/tesla-inc-nasdaqtsla-stake-raised-by-fiduciary-planning-llc/,2025-02-07T10:24:54Z,NewsAPI
ETF Daily News,"Jennison Associates LLC Sells 2,488,299 Shares of Tesla, Inc. (NASDAQ:TSLA)","Jennison Associates LLC lowered its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 20.4% during the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 9,712,913 shar…",https://www.etfdailynews.com/2025/02/07/jennison-associates-llc-sells-2488299-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T10:24:54Z,NewsAPI
ETF Daily News,"Catalina Capital Group LLC Increases Stake in Tesla, Inc. (NASDAQ:TSLA)","Catalina Capital Group LLC boosted its position in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 1.0% in the fourth quarter, according to its most recent filing with the Securities & Exchange Commission. The fund owned 7,445 shares of the electric vehi…",https://www.etfdailynews.com/2025/02/07/catalina-capital-group-llc-increases-stake-in-tesla-inc-nasdaqtsla/,2025-02-07T10:24:51Z,NewsAPI
Biztoc.com,Tesla China January deliveries down 11.5%,"The sales of Tesla Inc.'s electric vehicles produced in China stood at 63,238 units in Janaury, falling by 11.5% compared to the same month a year prior, according to a preliminary report released...",https://biztoc.com/x/cd3b2092b97e449a,2025-02-07T10:01:49Z,NewsAPI
ETF Daily News,"CCG Wealth Management LLC Acquires 585 Shares of Tesla, Inc. (NASDAQ:TSLA)","CCG Wealth Management LLC lifted its stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 12.3% during the fourth quarter, HoldingsChannel reports. The firm owned 5,330 shares of the electric vehicle producer’s stock after purchasing an additional 585 shares d…",https://www.etfdailynews.com/2025/02/07/ccg-wealth-management-llc-acquires-585-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T09:46:58Z,NewsAPI
ETF Daily News,"Burford Brothers Inc. Has $9.08 Million Holdings in Tesla, Inc. (NASDAQ:TSLA)","Burford Brothers Inc. decreased its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 1.3% in the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The fund owned 22,473 shares of the electric ve…",https://www.etfdailynews.com/2025/02/07/burford-brothers-inc-has-9-08-million-holdings-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:54Z,NewsAPI
ETF Daily News,"JB Capital LLC Purchases 438 Shares of Tesla, Inc. (NASDAQ:TSLA)","JB Capital LLC boosted its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 8.2% during the fourth quarter, according to the company in its most recent 13F filing with the SEC. The fund owned 5,806 shares of the electric vehicle producer’s stock after b…",https://www.etfdailynews.com/2025/02/07/jb-capital-llc-purchases-438-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T09:46:53Z,NewsAPI
ETF Daily News,"Tesla, Inc. (NASDAQ:TSLA) Stock Holdings Lowered by GPS Wealth Strategies Group LLC","GPS Wealth Strategies Group LLC reduced its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 12.8% during the fourth quarter, Holdings Channel reports. The firm owned 11,945 shares of the electric vehicle producer’s stock after selling 1,750 shares duri…",https://www.etfdailynews.com/2025/02/07/tesla-inc-nasdaqtsla-stock-holdings-lowered-by-gps-wealth-strategies-group-llc/,2025-02-07T09:46:53Z,NewsAPI
ETF Daily News,"KPP Advisory Services LLC Has $10.10 Million Stock Holdings in Tesla, Inc. (NASDAQ:TSLA)","KPP Advisory Services LLC lessened its stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 2.0% in the fourth quarter, HoldingsChannel reports. The firm owned 24,998 shares of the electric vehicle producer’s stock after selling 514 shares during the period. T…",https://www.etfdailynews.com/2025/02/07/kpp-advisory-services-llc-has-10-10-million-stock-holdings-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:51Z,NewsAPI
ETF Daily News,"Horst & Graben Wealth Management LLC Boosts Holdings in Tesla, Inc. (NASDAQ:TSLA)","Horst & Graben Wealth Management LLC increased its stake in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 0.6% in the fourth quarter, according to its most recent 13F filing with the SEC. The firm owned 17,319 shares of the electric vehicle producer’s …",https://www.etfdailynews.com/2025/02/07/horst-graben-wealth-management-llc-boosts-holdings-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:51Z,NewsAPI
ETF Daily News,"FSM Wealth Advisors LLC Lowers Holdings in Tesla, Inc. (NASDAQ:TSLA)","FSM Wealth Advisors LLC decreased its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 1.2% in the 4th quarter, according to its most recent 13F filing with the Securities and Exchange Commission (SEC). The firm owned 5,066 shares of the electric vehicl…",https://www.etfdailynews.com/2025/02/07/fsm-wealth-advisors-llc-lowers-holdings-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:50Z,NewsAPI
ETF Daily News,"Lynch Asset Management Inc. Has $2.59 Million Stake in Tesla, Inc. (NASDAQ:TSLA)","Lynch Asset Management Inc. trimmed its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 4.5% in the fourth quarter, according to its most recent Form 13F filing with the Securities and Exchange Commission. The institutional investor owned 6,400 shares …",https://www.etfdailynews.com/2025/02/07/lynch-asset-management-inc-has-2-59-million-stake-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:49Z,NewsAPI
ETF Daily News,"S.A. Mason LLC Acquires 158 Shares of Tesla, Inc. (NASDAQ:TSLA)","S.A. Mason LLC boosted its position in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 12.2% during the 4th quarter, according to its most recent 13F filing with the Securities & Exchange Commission. The firm owned 1,453 shares of the electric vehicle pr…",https://www.etfdailynews.com/2025/02/07/s-a-mason-llc-acquires-158-shares-of-tesla-inc-nasdaqtsla/,2025-02-07T09:46:49Z,NewsAPI
ETF Daily News,"Alterna Wealth Management Inc. Makes New Investment in Tesla, Inc. (NASDAQ:TSLA)","Alterna Wealth Management Inc. bought a new position in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) in the 4th quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The firm bought 981 sh…",https://www.etfdailynews.com/2025/02/07/alterna-wealth-management-inc-makes-new-investment-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:41Z,NewsAPI
ETF Daily News,"Chicago Capital LLC Raises Position in Tesla, Inc. (NASDAQ:TSLA)","Chicago Capital LLC lifted its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 3.5% during the 4th quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The firm owned 18,609 shares of the electr…",https://www.etfdailynews.com/2025/02/07/chicago-capital-llc-raises-position-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:40Z,NewsAPI
ETF Daily News,"Means Investment CO. Inc. Raises Stock Position in Tesla, Inc. (NASDAQ:TSLA)","Means Investment CO. Inc. increased its stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 8.7% in the 4th quarter, according to the company in its most recent filing with the SEC. The institutional investor owned 16,766 shares of the electric vehicle produc…",https://www.etfdailynews.com/2025/02/07/means-investment-co-inc-raises-stock-position-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:40Z,NewsAPI
ETF Daily News,"Sequent Asset Management LLC Buys New Holdings in Tesla, Inc. (NASDAQ:TSLA)","Sequent Asset Management LLC bought a new stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) in the 4th quarter, Holdings Channel.com reports. The firm bought 642 shares of the electric vehicle producer’s stock, valued at approximately $259,000. Other hedge fun…",https://www.etfdailynews.com/2025/02/07/sequent-asset-management-llc-buys-new-holdings-in-tesla-inc-nasdaqtsla/,2025-02-07T09:46:37Z,NewsAPI
Securityaffairs.com,Attackers used a public ASP.NET machine to conduct ViewState code injection attacks,"Microsoft researchers warn that threat actors are delivering the Godzilla framework using a static ASP.NET machine. In December 2024, Microsoft Threat Intelligence researchers spotted a threat actor using a public ASP.NET machine key to deploy Godzilla malwar…",https://securityaffairs.com/173956/hacking/abusing-asp-net-machine-to-deploy-malware.html,2025-02-07T09:31:40Z,NewsAPI
GlobeNewswire,"Battery as a Service Market Global Forecast to 2035, with Case Studies of Galp, Swobbee, Boost Logistics, Nio, Tesla, Renault and Urja Mobility","The battery as a service market is dominated by major players, including NIO, Gogoro, XPENG, SAIC Motor Corporation, Vinfast and more. These companies are expanding their portfolios to strengthen their battery as a service market position. The battery as a se…",https://www.globenewswire.com/news-release/2025/02/07/3022597/28124/en/Battery-as-a-Service-Market-Global-Forecast-to-2035-with-Case-Studies-of-Galp-Swobbee-Boost-Logistics-Nio-Tesla-Renault-and-Urja-Mobility.html,2025-02-07T09:10:00Z,NewsAPI
Techtarget.com,Chinese companies banned in the U.S.: Tech giants on the list,"Several Chinese tech giants including Huawei, Tencent and CATL are now on the U.S. CMC list due to security concerns.",https://www.techtarget.com/whatis/feature/Chinese-companies-banned-in-the-US-Tech-giants-on-the-list,2025-02-07T09:00:00Z,NewsAPI
Tistory.com,김건희家 미쳐도 곱게 미쳐라.,"What are memecoins, and why did Donald Trump launch one? https://t.co/wd5alCv4rk— Bloomberg Economics (@economics) January 26, 2025 We asked Cathie about $TRUMP, she said it’s a meme coin, she isn’t a buyer bc she only holds “The Big Three” (btc, eth, sol) bu…",https://ryueyes11.tistory.com/511471,2025-02-07T07:50:30Z,NewsAPI
ETF Daily News,Tesla (NASDAQ:TSLA) Trading Down 3.3% on Insider Selling,"Tesla, Inc. (NASDAQ:TSLA – Get Free Report) fell 3.3% on Thursday after an insider sold shares in the company. The company traded as low as $363.18 and last traded at $365.71. 34,514,329 shares traded hands during mid-day trading, a decline of 53% from the av…",https://www.etfdailynews.com/2025/02/07/tesla-nasdaqtsla-trading-down-3-3-on-insider-selling/,2025-02-07T07:45:04Z,NewsAPI
Bangkok Post,"Elon Musk calls drones, AI the future of war","<p>NEW YORK &mdash; Elon Musk, the CEO of SpaceX, said that the future of warfare is artificial intelligence (AI) and drones in a newly released video of his conversation last summer at the United States Military Academy in West Point, New York.</p>",https://www.bangkokpost.com/life/tech/2956235/musk-calls-drones-ai-the-future-of-war-in-west-point-interview,2025-02-07T06:44:00Z,NewsAPI
Motley Fool Australia,Invested in the Magnificent Seven? Here's why this fundie doesn't hold 2 of the stocks,"Some fund managers and ASX ETF index managers are only investing in some of the US Mag 7 stocks. 
The post Invested in the Magnificent Seven? Here's why this fundie doesn't hold 2 of the stocks appeared first on The Motley Fool Australia.",https://www.fool.com.au/2025/02/07/invested-in-the-magnificent-seven-heres-why-this-fundie-doesnt-hold-2-of-the-stocks/,2025-02-07T03:40:08Z,NewsAPI
Yahoo Entertainment,"Tesla, Inc. (TSLA): Among Cathie Wood’s Top Stock Picks for 2025",,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_0fa07b58-bffe-464f-b370-97b74f67a2ef,2025-02-07T01:31:09Z,NewsAPI
Fox News,Boston University staff member made social media post saying DOGE employees are wanted 'dead or alive',"An employee of Boston University posted a graphic of DOGE team members, which is headed by Elon Musk, that read ""Wanted for treason, dead or alive.""",https://www.foxnews.com/media/boston-university-staff-member-made-social-media-post-saying-doge-employees-wanted-dead-alive,2025-02-07T01:00:41Z,NewsAPI
GlobeNewswire,Matthews International Reports Results for Fiscal 2025 First Quarter,Fiscal 2025 First Quarter Financial Highlights:        Company maintains outlook for fiscal 2025 (subject to the completion of the SGK Brand Solutions......,https://www.globenewswire.com/news-release/2025/02/06/3022513/12919/en/Matthews-International-Reports-Results-for-Fiscal-2025-First-Quarter.html,2025-02-06T23:30:00Z,NewsAPI
Securityaffairs.com,"U.S. CISA adds Microsoft Outlook, Sophos XG Firewall, and other flaws to its Known Exploited Vulnerabilities catalog","U.S. Cybersecurity and Infrastructure Security Agency (CISA) adds Microsoft Outlook, Sophos XG Firewall, and other flaws to its Known Exploited Vulnerabilities catalog. The U.S. Cybersecurity and Infrastructure Security Agency (CISA) added the following vulne…",https://securityaffairs.com/173949/hacking/u-s-cisa-adds-microsoft-outlook-sophos-xg-firewall-and-other-flaws-to-its-known-exploited-vulnerabilities-catalog.html,2025-02-06T22:36:30Z,NewsAPI
TechCrunch,Pour one out for Cruise and why autonomous vehicle test miles dropped 50% | TechCrunch,Welcome back to TechCrunch Mobility — your central hub for news and insights on the future of transportation. Sign up here for free — just click,https://techcrunch.com/2025/02/06/pour-one-out-for-cruise-and-why-autonomous-vehicle-test-miles-dropped-50/,2025-02-06T21:37:42Z,NewsAPI
TechCrunch,Tracking the EV battery factory construction boom across North America | TechCrunch,Battery factories are popping up across North America. Here's where they are and how the Inflation Reduction Act influenced the boom.,https://techcrunch.com/2025/02/06/tracking-the-ev-battery-factory-construction-boom-across-north-america/,2025-02-06T20:31:14Z,NewsAPI
The Portland Mercury,"Good Morning, News: Nursing Instructors Slap Back at Providence, Trouble for Musk's DOGE Boy-Toys, and Protesting King Fool in Salem","by Wm. Steven Humphrey
 
 
 
 If you’re reading this, you probably know the value of the Mercury’s news reporting, arts and culture coverage, event calendar, and the bevy of events we host throughout the year. The work we do helps our city shine, but we can’t…",https://www.portlandmercury.com/good-morning-news/2025/02/06/47632884/good-morning-news-nursing-instructors-slap-back-at-providence-trouble-for-musks-doge-boy-toys-and-protesting-king-fool-in-salem,2025-02-06T16:54:00Z,NewsAPI
Biztoc.com,Tesla slides by 3.5% after announcing new hirings,"Billionaire entrepreneur Elon Musk's Tesla Inc.'s stock declined on Thursday after the company announced twelve job openings on a team developing the robotic humanoid Optimus, also known as Tesla Bot,...",https://biztoc.com/x/a8d46d053ae4fce6,2025-02-06T16:12:25Z,NewsAPI
Securityaffairs.com,Cisco addressed two critical flaws in its Identity Services Engine (ISE),"Cisco addressed critical flaws in Identity Services Engine, preventing privilege escalation and system configuration changes. Cisco addressed multiple vulnerabilities, including two critical remote code execution flaws, tracked as CVE-2025-20124 (CVSS score o…",https://securityaffairs.com/173946/security/cisco-addressed-critical-flaws-in-identity-services-engine.html,2025-02-06T15:42:28Z,NewsAPI
Financial Post,Democratic Governors Prepare to Battle Trump Over EV Incentives,"A parade of new, affordable electric cars and generous state incentives may foil Trump’s bid to crash one of Biden’s key policy achievements.",https://financialpost.com/pmn/business-pmn/democratic-governors-prepare-to-battle-trump-over-ev-incentives,2025-02-06T15:02:16Z,NewsAPI
Financial Post,Inside the LA Fire Cleanup’s Rush to Remove Tons of Toxic Rubble,"The Trump administration is trying to complete a hazardous cleanup effort in a third of the time required for the previous, much smaller urban wildfire in the US.",https://financialpost.com/pmn/business-pmn/inside-the-la-fire-cleanups-rush-to-remove-tons-of-toxic-rubble,2025-02-06T14:21:37Z,NewsAPI
ETF Daily News,"Level Wealth Management LLC Makes New Investment in Tesla, Inc. (NASDAQ:TSLA)","Level Wealth Management LLC acquired a new position in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) during the 4th quarter, Holdings Channel.com reports. The fund acquired 707 shares of the electric vehicle producer’s stock, valued at approximately $286,…",https://www.etfdailynews.com/2025/02/06/level-wealth-management-llc-makes-new-investment-in-tesla-inc-nasdaqtsla/,2025-02-06T13:39:04Z,NewsAPI
Livemint,Elon Musk's Tesla sales tank across Europe; drop 59% in Germany. Here's why,"Billionaire Elon Musk's Tesla sales dropped in the three largest markets of Europe, including 59% in Germany, reported the news agency Bloomberg. Shares were trading lower ahead of the Wall Street open on Thursday.&nbsp;",https://www.livemint.com/companies/news/elon-musks-tesla-sales-tank-across-europe-drops-59-in-germany-heres-why-11738842525311.html,2025-02-06T13:08:22Z,NewsAPI
ETF Daily News,"Tesla, Inc. (NASDAQ:TSLA) Stake Reduced by SkyOak Wealth LLC","SkyOak Wealth LLC reduced its stake in shares of Tesla, Inc. (NASDAQ:TSLA – Free Report) by 34.8% in the fourth quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission (SEC). The fund owned 6,597 shares of t…",https://www.etfdailynews.com/2025/02/06/tesla-inc-nasdaqtsla-stake-reduced-by-skyoak-wealth-llc/,2025-02-06T12:16:49Z,NewsAPI
ETF Daily News,"McAdam LLC Has $2.66 Million Stock Holdings in Tesla, Inc. (NASDAQ:TSLA)","McAdam LLC cut its position in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 9.0% during the 4th quarter, HoldingsChannel reports. The firm owned 6,578 shares of the electric vehicle producer’s stock after selling 654 shares during the quarter. McAdam LLC’s hold…",https://www.etfdailynews.com/2025/02/06/mcadam-llc-has-2-66-million-stock-holdings-in-tesla-inc-nasdaqtsla/,2025-02-06T12:16:48Z,NewsAPI
ETF Daily News,"Leverty Financial Group LLC Buys New Shares in Tesla, Inc. (NASDAQ:TSLA)","Leverty Financial Group LLC bought a new stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) during the fourth quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission (SEC). The institutional investor boug…",https://www.etfdailynews.com/2025/02/06/leverty-financial-group-llc-buys-new-shares-in-tesla-inc-nasdaqtsla/,2025-02-06T12:16:47Z,NewsAPI
ETF Daily News,"Valley National Advisers Inc. Acquires 158 Shares of Tesla, Inc. (NASDAQ:TSLA)","Valley National Advisers Inc. raised its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 4.3% in the fourth quarter, HoldingsChannel.com reports. The firm owned 3,866 shares of the electric vehicle producer’s stock after purchasing an additional 158 sh…",https://www.etfdailynews.com/2025/02/06/valley-national-advisers-inc-acquires-158-shares-of-tesla-inc-nasdaqtsla/,2025-02-06T12:16:46Z,NewsAPI
ETF Daily News,"Tesla, Inc. (NASDAQ:TSLA) Shares Purchased by Riggs Asset Managment Co. Inc.","Riggs Asset Managment Co. Inc. raised its stake in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 0.5% in the fourth quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The institutional investor owned 5,54…",https://www.etfdailynews.com/2025/02/06/tesla-inc-nasdaqtsla-shares-purchased-by-riggs-asset-managment-co-inc/,2025-02-06T12:16:46Z,NewsAPI
ETF Daily News,"Western Pacific Wealth Management LP Has $1.25 Million Stake in Tesla, Inc. (NASDAQ:TSLA)","Western Pacific Wealth Management LP trimmed its holdings in Tesla, Inc. (NASDAQ:TSLA – Free Report) by 33.4% in the fourth quarter, according to the company in its most recent Form 13F filing with the Securities and Exchange Commission. The firm owned 3,097 …",https://www.etfdailynews.com/2025/02/06/western-pacific-wealth-management-lp-has-1-25-million-stake-in-tesla-inc-nasdaqtsla/,2025-02-06T12:16:46Z,NewsAPI
The Times of India,Kanye West cashing in on Bianca Censori with new book after shocking Grammys stunt? What we know,"After Kanye West and his wife Bianca Censori sparked buzz online due to shocking stunt at the 67th Grammy Awards, the US rapper is reportedly looking to enter the publishing world with a book about his wife. Kanye West is reportedly seeking rights to the titl…",https://economictimes.indiatimes.com/news/international/global-trends/us-news-kanye-west-bianca-censori-grammys-outfit-wife-by-husband-kanye-west-cashing-in-on-bianca-censori-with-new-book-after-shocking-grammys-stunt-what-we-know/articleshow/117981610.cms,2025-02-06T11:02:53Z,NewsAPI
